card_id,disp_id,type,issued
654,4230,Gold,2021-11-30
196,1197,Gold,2021-11-30
473,3063,Gold,2021-11-30
829,6255,Gold,2021-11-30
310,1947,Silver,2021-11-30
76,464,Gold,2021-11-30
573,3638,Gold,2021-11-30
240,1459,Gold,2021-11-30
728,4725,Gold,2021-11-30
924,7862,Gold,2021-11-30
486,3128,Diamond,2021-11-30
1081,10696,Gold,2021-11-30
753,4974,Gold,2021-11-30
442,2796,Gold,2021-11-30
125,694,Diamond,2021-11-30
674,4360,Gold,2021-11-30
322,2063,Gold,2021-11-30
685,4467,Gold,2021-11-30
635,4083,Gold,2021-11-30
